ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
O1,Sem>Perc:E1>E3,-0.37,0.52,0.522,
O1,Sent>Pic:E1>E3,0.28,0.52,0.802,
O1,Task:StimType:E1>E3,0.06,0.52,0.915,
O1,Sent_Sem>S:E1>E3,-0.07,0.37,0.843,
Cer2,Intercept,0.46,0.05,<.001,***
Cer2,S-N,0.03,0.08,0.787,
Cer2,H-E,-0.04,0.09,0.682,
Cer2,Task Sem>Perc,1.07,0.11,<.001,***
Cer2,StimType Sent>Pic,0.07,0.11,0.842,
Cer2,Task:StimType,-0.06,0.11,0.951,
Cer2,Sent_Sem>S,0.34,0.08,<.001,***
Cer2,SemTask>WMTask,1.17,0.12,<.001,***
Cer2,E2>E3,0.3,0.06,<.001,***
Cer2,E1>E3,-0.19,0.07,0.026,*
Cer2,S>N:E2>E3,-0.01,0.11,0.946,
Cer2,H-E:E2>E3,-0.01,0.09,0.994,
Cer2,Sem>Perc:E2>E3,0.8,0.15,<.001,***
Cer2,Sent>Pic:E2>E3,-0.12,0.15,0.616,
Cer2,Task:StimType:E2>E3,0,0.15,0.992,
Cer2,Sent_Sem>S:E2>E3,0.32,0.11,0.008,**
Cer2,SemTask>WMTask:E2>E3,0.55,0.12,<.001,***
Cer2,S-N:E1>E3,0.02,0.11,0.843,
Cer2,Sem>Perc:E1>E3,-0.41,0.16,0.03,*
Cer2,Sent>Pic:E1>E3,-0.13,0.16,0.802,
Cer2,Task:StimType:E1>E3,0.08,0.16,0.915,
Cer2,Sent_Sem>S:E1>E3,-0.17,0.11,0.348,
O2,Intercept,2.71,0.19,<.001,***
O2,S-N,-0.31,0.21,0.332,
O2,H-E,0.29,0.24,0.365,
O2,Task Sem>Perc,1.59,0.29,<.001,***
O2,StimType Sent>Pic,-0.72,0.29,0.051,
O2,Task:StimType,-0.04,0.29,0.951,
O2,Sent_Sem>S,0.15,0.21,0.502,
O2,SemTask>WMTask,4.43,0.34,<.001,***
O2,E2>E3,1.23,0.2,<.001,***
O2,E1>E3,-0.49,0.29,0.129,
O2,S>N:E2>E3,0.15,0.29,0.946,
O2,H-E:E2>E3,-0.08,0.24,0.994,
O2,Sem>Perc:E2>E3,0.39,0.41,0.384,
O2,Sent>Pic:E2>E3,0.35,0.41,0.616,
O2,Task:StimType:E2>E3,0.2,0.41,0.992,
O2,Sent_Sem>S:E2>E3,1.02,0.29,0.002,**
O2,SemTask>WMTask:E2>E3,2,0.34,<.001,***
O2,S-N:E1>E3,-0.24,0.31,0.843,
O2,Sem>Perc:E1>E3,-0.05,0.44,0.912,
O2,Sent>Pic:E1>E3,0.11,0.44,0.802,
O2,Task:StimType:E1>E3,-0.16,0.44,0.915,
O2,Sent_Sem>S:E1>E3,-0.33,0.31,0.356,
