subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190611b_3T2,2,2,1,62.03253793716431,Perc-photo,8,A man is sharpening a pencil.,1,3,"[[0.4666666666666666, 1.106332378128256, -1.6661418514355488], [0.9333333333333332, 0.8897549805874937, 1.7911828702060961], [1.4, -1.996087358715751, -0.12504101877054805]]",1,1,1.9003159999847412,1
FED_20190611b_3T2,2,2,1,66.05469107627869,Perc-sent,34,A man is burning an incense stick.,1,3,"[[0.4666666666666666, -0.36076312613332306, -1.9671934238458892], [0.9333333333333332, -1.5232579161415665, 1.2960267439030928], [1.4, 1.88402104227489, 0.6711666799427976]]",1,1,1.8453269004821777,1
FED_20190611b_3T2,2,2,1,68.01658010482788,Perc-sent,26,A woman is cutting out a coupon from the newspaper.,1,4,"[[0.35, -1.0235050037205533, -1.0965571154112266], [0.7, 1.4613988205069837, -0.3381027764168717], [1.0499999999999998, -1.0235050037205533, -1.0965571154112266], [1.4, 1.4613988205069837, -0.3381027764168717]]",0,0,1.700329065322876,1
FED_20190611b_3T2,2,2,1,70.01692295074463,Perc-sent,53,A woman is feeding a bone to the dog.,1,3,"[[0.4666666666666666, 0.3909525650152159, -1.9614168582705778], [0.9333333333333332, -1.894113109180989, 0.642133576157427], [1.4, 0.3909525650152159, -1.9614168582705778]]",1,1,1.7169082164764404,1
FED_20190611b_3T2,2,2,1,72.01714611053467,Perc-sent,5,A woman is putting a quarter into the snack machine.,0,3,"[[0.4666666666666666, -1.8439083127873561, 0.7745980467530791], [0.9333333333333332, 1.5927757426036502, 1.2095724177466147], [1.4, -1.8439083127873561, 0.7745980467530791]]",1,1,1.7669918537139893,1
FED_20190611b_3T2,2,2,1,74.01741099357605,Perc-sent,39,A woman is connecting a printer to the laptop.,0,4,"[[0.35, -0.9374039435083856, 1.1710140249778938], [0.7, 1.4828298655729144, 0.22630861619702633], [1.0499999999999998, -0.9374039435083856, 1.1710140249778938], [1.4, -0.5454259220645289, -1.3973226411749216]]",0,1,1.9503309726715088,0
FED_20190611b_3T2,2,2,1,76.01766109466553,Perc-sent,31,A woman is taking a shower.,0,4,"[[0.35, -0.18725818548418435, -1.4882655582822477], [0.7, 1.3825048737919485, 0.5819624334452422], [1.0499999999999998, -0.18725818548418435, -1.4882655582822477], [1.4, 1.3825048737919485, 0.5819624334452422]]",0,0,1.8169739246368408,1
FED_20190611b_3T2,2,2,1,78.01792097091675,Perc-sent,20,A woman is sewing a button onto the dress.,0,3,"[[0.4666666666666666, -1.6730148606769912, 1.0959111624369684], [0.9333333333333332, -0.11257947662285399, -1.996828951473642], [1.4, 1.7855943372998446, 0.9009177890366739]]",1,1,1.7836341857910156,1
FED_20190611b_3T2,2,2,1,98.02051711082458,Perc-sent,40,A woman is gluing a picture in her scrapbook.,1,4,"[[0.35, 1.494659275660266, 0.1264660020824923], [0.7, -0.6378068673116389, -1.3576459037650845], [1.0499999999999998, -0.8568524083486267, 1.2311799016825926], [1.4, 1.494659275660266, 0.1264660020824923]]",0,0,1.7336130142211914,1
FED_20190611b_3T2,2,2,1,100.02079105377197,Perc-sent,55,A man is putting a cactus on the window sill.,0,4,"[[0.35, 0.7527613225250576, 1.297439937457733], [0.7, -1.499996606985419, 0.0031904595642044684], [1.0499999999999998, 0.7527613225250576, 1.297439937457733], [1.4, 0.7472352844603604, -1.3006303970219382]]",0,0,1.7503008842468262,1
FED_20190611b_3T2,2,2,1,102.0208899974823,Perc-sent,43,A man is putting a toupee on his head.,0,3,"[[0.4666666666666666, 1.4702538579361253, -1.355858987219519], [0.9333333333333332, -1.9093352558496066, -0.5953476973750024], [1.4, 1.4702538579361253, -1.355858987219519]]",1,1,1.7837610244750977,1
FED_20190611b_3T2,2,2,1,104.02135801315308,Perc-sent,42,A woman is getting her ears pierced.,1,3,"[[0.4666666666666666, -0.2850178127671877, -1.9795870393608381], [0.9333333333333332, -1.5718637587053168, 1.2366261860678809], [1.4, -0.2850178127671877, -1.9795870393608381]]",1,1,1.816892147064209,1
FED_20190611b_3T2,2,2,1,106.02161312103271,Perc-sent,1,A man is putting a cooking pot on a burner.,0,4,"[[0.35, -1.1233035436343688, 0.9940770336641269], [0.7, -0.2992441926546274, -1.4698479217805087], [1.0499999999999998, -1.1233035436343688, 0.9940770336641269], [1.4, 1.4225477362889967, 0.47577088811638263]]",0,0,1.9502530097961426,1
FED_20190611b_3T2,2,2,1,108.02176403999329,Perc-sent,50,A woman is cutting the birthday cake.,1,4,"[[0.35, 0.34726840258465674, -1.4592479763790323], [0.7, 1.0901116166729474, 1.0303672467594711], [1.0499999999999998, -1.437380019257605, 0.4288807296195615], [1.4, 0.34726840258465674, -1.4592479763790323]]",0,0,1.71697998046875,1
FED_20190611b_3T2,2,2,1,110.02212810516357,Perc-sent,52,A woman is pouring fancy wine into a wine glass.,0,4,"[[0.35, -1.4913842324481188, 0.1605399364804153], [0.7, 0.8847237795380383, 1.21130666386342], [1.0499999999999998, -1.4913842324481188, 0.1605399364804153], [1.4, 0.6066604529100802, -1.3718466003438345]]",0,1,1.7502479553222656,0
FED_20190611b_3T2,2,2,1,114.02257513999939,Perc-photo,31,A woman is dipping a tortilla chip in salsa.,1,4,"[[0.35, -1.4247125513856884, 0.469248490593291], [0.7, 0.30597516215155307, -1.4684615078871939], [1.0499999999999998, -1.4247125513856884, 0.469248490593291], [1.4, 0.30597516215155307, -1.4684615078871939]]",0,0,1.7168188095092773,1
FED_20190611b_3T2,2,2,1,116.02290415763855,Perc-photo,42,A woman is plugging headphones into a Discman.,0,4,"[[0.35, -1.3319248829551298, 0.6899102160172467], [0.7, 1.2634422148789102, 0.8085256765631341], [1.0499999999999998, -1.3319248829551298, 0.6899102160172467], [1.4, 1.2634422148789102, 0.8085256765631341]]",0,0,1.8002159595489502,1
FED_20190611b_3T2,2,2,1,118.02316308021545,Perc-photo,51,A woman is pouring chocolate syrup into a glass of milk.,1,3,"[[0.4666666666666666, 1.9999782680753104, -0.009323477166886592], [0.9333333333333332, -0.9919147659595272, 1.7366937257534665], [1.4, -1.0080635021157835, -1.7273702485865794]]",1,1,1.6667370796203613,1
