subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160622a_3T1,2,2,2,108.01852202415466,Sem-sent,26,A woman is cutting out a coupon from the newspaper.,1,3,"[[0.4666666666666666, -0.19394673027724946, 1.9905739538672669], [0.9333333333333332, -1.6269142470220606, -1.1632497723346615], [1.4, 1.8208609772993116, -0.8273241815326056]]",1,1,1.7000939846038818,1
FED_20160622a_3T1,2,2,2,110.03525304794312,Sem-sent,8,A man is putting a photograph into a photo album.,0,4,"[[0.35, 0.6932354344494052, -1.3301972156126867], [0.7, 0.8053668635392103, 1.2654581048430704], [1.0499999999999998, 0.6932354344494052, -1.3301972156126867], [1.4, 0.8053668635392103, 1.2654581048430704]]",0,0,1.6502070426940918,1
FED_20160622a_3T1,2,2,2,114.01907110214233,Sem-photo,32,A woman is putting on a headband.,0,3,"[[0.4666666666666666, 1.8781481894374392, 0.6874295443991834], [0.9333333333333332, -0.3437426459570643, -1.9702388163241624], [1.4, -1.534405543480375, 1.2828092719249793]]",0,0,1.5167319774627686,1
FED_20160622a_3T1,2,2,2,116.01926302909851,Sem-photo,4,A man is polishing a shoe.,0,3,"[[0.4666666666666666, -1.6648226322305866, -1.1083165627260205], [0.9333333333333332, 1.7922416148710765, -0.8876204109439552], [1.4, -1.6648226322305866, -1.1083165627260205]]",0,0,1.6334209442138672,1
FED_20160622a_3T1,2,2,2,118.0194411277771,Sem-photo,13,A woman is cutting a tomato.,1,4,"[[0.35, -0.9534663526569516, -1.1579731924146817], [0.7, 1.479567377860956, -0.24673948684727226], [1.0499999999999998, -0.9534663526569516, -1.1579731924146817], [1.4, -0.5261010252040028, 1.404712679261954]]",1,1,1.5000598430633545,1
FED_20160622a_3T1,2,2,2,120.01962995529175,Sem-photo,5,A man is salting an egg.,1,3,"[[0.4666666666666666, 1.1576763262775143, 1.6308848897382666], [0.9333333333333332, 0.8335495820227646, -1.8180195527853034], [1.4, 1.1576763262775143, 1.6308848897382666]]",1,1,1.6000831127166748,1
FED_20160622a_3T1,2,2,2,122.0198130607605,Sem-photo,30,A woman is putting scissors in a desk organizer.,0,4,"[[0.35, 1.4982399827548223, -0.07264264639198043], [0.7, -0.6862096142038251, 1.3338352092272259], [1.0499999999999998, -0.8120303685509964, -1.2611925628352447], [1.4, 1.4982399827548223, -0.07264264639198043]]",0,0,1.6000840663909912,1
FED_20160622a_3T1,2,2,2,124.02000117301941,Sem-photo,8,A man is sharpening a pencil.,1,3,"[[0.4666666666666666, 1.781232578941945, -0.9095111322660254], [0.9333333333333332, -1.6782760350380994, -1.0878370972791818], [1.4, -0.1029565439038463, 1.9973482295452076]]",1,1,1.5500659942626953,1
FED_20160622a_3T1,2,2,2,126.0201849937439,Sem-photo,16,A man is putting sunglasses on his head.,0,4,"[[0.35, -1.4900440461949895, -0.17253620025624689], [0.7, 0.5956012906031458, 1.376684096890738], [1.0499999999999998, -1.4900440461949895, -0.17253620025624689], [1.4, 0.5956012906031458, 1.376684096890738]]",0,0,1.3500311374664307,1
FED_20160622a_3T1,2,2,2,130.02055597305298,Perc-sent,73,A woman is feeding the ducks some crumbs.,1,3,"[[0.4666666666666666, 1.7342103486274616, -0.9962502028674414], [0.9333333333333332, -1.7298831585223353, -1.0037451159835291], [1.4, -0.004327190105126324, 1.9999953188509703]]",1,,,
FED_20160622a_3T1,2,2,2,132.02068710327148,Perc-sent,79,A woman is putting bell peppers in an omelet.,1,3,"[[0.4666666666666666, 1.8982742891660276, 0.6297259110845069], [0.9333333333333332, -1.4944957810034971, 1.329090802226374], [1.4, 1.8982742891660276, 0.6297259110845069]]",1,0,1.7334928512573242,0
