subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
1,281080,0.2000,72,37,29,-52,-54,-16
1,281171,0.6000,72,38,29,-52,-52,-16
1,281172,0.6000,73,38,29,-54,-52,-16
1,281262,0.2000,72,39,29,-52,-50,-16
1,281347,0.2000,66,40,29,-40,-48,-16
1,281358,0.2000,77,40,29,-62,-48,-16
1,281438,0.4000,66,41,29,-40,-46,-16
1,281439,0.2000,67,41,29,-42,-46,-16
1,281444,0.6000,72,41,29,-52,-46,-16
1,281446,0.6000,74,41,29,-56,-46,-16
1,281447,0.4000,75,41,29,-58,-46,-16
1,281448,0.8000,76,41,29,-60,-46,-16
1,281449,0.6000,77,41,29,-62,-46,-16
1,281529,0.6000,66,42,29,-40,-44,-16
1,281530,0.4000,67,42,29,-42,-44,-16
1,281534,0.8000,71,42,29,-50,-44,-16
1,281535,1.0000,72,42,29,-52,-44,-16
1,281537,1.0000,74,42,29,-56,-44,-16
1,281538,1.0000,75,42,29,-58,-44,-16
1,281539,0.8000,76,42,29,-60,-44,-16
1,281540,0.6000,77,42,29,-62,-44,-16
1,281625,1.0000,71,43,29,-50,-42,-16
1,281626,1.0000,72,43,29,-52,-42,-16
1,281628,1.0000,74,43,29,-56,-42,-16
1,281629,1.0000,75,43,29,-58,-42,-16
1,281630,0.8000,76,43,29,-60,-42,-16
1,281715,0.4000,70,44,29,-48,-40,-16
1,281720,1.0000,75,44,29,-58,-40,-16
1,289138,0.2000,31,17,30,30,-94,-14
1,289139,0.2000,32,17,30,28,-94,-14
1,289167,0.6000,60,17,30,-28,-94,-14
1,289168,1.0000,61,17,30,-30,-94,-14
1,289169,0.8000,62,17,30,-32,-94,-14
1,289170,0.2000,63,17,30,-34,-94,-14
1,289258,0.2000,60,18,30,-28,-92,-14
1,289259,0.2000,61,18,30,-30,-92,-14
1,289445,0.4000,65,20,30,-38,-88,-14
1,289535,0.2000,64,21,30,-36,-86,-14
1,289536,1.0000,65,21,30,-38,-86,-14
1,289588,0.2000,26,22,30,40,-84,-14
1,289627,0.6000,65,22,30,-38,-84,-14
1,289902,0.2000,67,25,30,-42,-78,-14
1,290629,1.0000,66,33,30,-40,-62,-14
1,290630,1.0000,67,33,30,-42,-62,-14
1,290631,0.6000,68,33,30,-44,-62,-14
1,290720,1.0000,66,34,30,-40,-60,-14
1,290721,1.0000,67,34,30,-42,-60,-14
1,290722,1.0000,68,34,30,-44,-60,-14
1,290726,0.4000,72,34,30,-52,-60,-14
1,290727,0.2000,73,34,30,-54,-60,-14
1,290811,1.0000,66,35,30,-40,-58,-14
1,290812,0.6000,67,35,30,-42,-58,-14
1,290817,0.8000,72,35,30,-52,-58,-14
1,290818,0.8000,73,35,30,-54,-58,-14
1,290902,0.2000,66,36,30,-40,-56,-14
1,290908,0.4000,72,36,30,-52,-56,-14
1,290909,0.2000,73,36,30,-54,-56,-14
1,290998,0.2000,71,37,30,-50,-54,-14
1,290999,0.6000,72,37,30,-52,-54,-14
1,291000,0.2000,73,37,30,-54,-54,-14
1,291090,0.8000,72,38,30,-52,-52,-14
1,291181,1.0000,72,39,30,-52,-50,-14
1,291272,1.0000,72,40,30,-52,-48,-14
1,291274,0.2000,74,40,30,-56,-48,-14
1,291357,0.4000,66,41,30,-40,-46,-14
1,291358,0.2000,67,41,30,-42,-46,-14
1,291362,1.0000,71,41,30,-50,-46,-14
1,291363,1.0000,72,41,30,-52,-46,-14
1,291365,0.8000,74,41,30,-56,-46,-14
1,291366,0.8000,75,41,30,-58,-46,-14
1,291367,0.8000,76,41,30,-60,-46,-14
1,291368,0.4000,77,41,30,-62,-46,-14
1,291449,0.4000,67,42,30,-42,-44,-14
1,291452,0.6000,70,42,30,-48,-44,-14
1,291453,1.0000,71,42,30,-50,-44,-14
1,291454,1.0000,72,42,30,-52,-44,-14
1,291456,1.0000,74,42,30,-56,-44,-14
1,291457,1.0000,75,42,30,-58,-44,-14
1,291458,0.8000,76,42,30,-60,-44,-14
1,291459,0.6000,77,42,30,-62,-44,-14
1,291543,0.8000,70,43,30,-48,-42,-14
1,291544,1.0000,71,43,30,-50,-42,-14
1,291547,1.0000,74,43,30,-56,-42,-14
1,291548,1.0000,75,43,30,-58,-42,-14
1,291549,1.0000,76,43,30,-60,-42,-14
1,291550,0.6000,77,43,30,-62,-42,-14
1,291639,1.0000,75,44,30,-58,-40,-14
1,291640,1.0000,76,44,30,-60,-40,-14
1,298806,0.2000,53,14,31,-14,-100,-12
1,298879,0.4000,35,15,31,22,-98,-12
1,298968,0.6000,33,16,31,26,-96,-12
1,298969,0.2000,34,16,31,24,-96,-12
1,298995,1.0000,60,16,31,-28,-96,-12
1,298996,1.0000,61,16,31,-30,-96,-12
1,299057,0.6000,31,17,31,30,-94,-12
1,299058,0.4000,32,17,31,28,-94,-12
1,299086,1.0000,60,17,31,-28,-94,-12
1,299087,1.0000,61,17,31,-30,-94,-12
1,299088,1.0000,62,17,31,-32,-94,-12
1,299089,0.2000,63,17,31,-34,-94,-12
1,299178,0.2000,61,18,31,-30,-92,-12
1,299364,0.8000,65,20,31,-38,-88,-12
1,299365,1.0000,66,20,31,-40,-88,-12
1,299417,0.2000,27,21,31,38,-86,-12
1,299455,0.4000,65,21,31,-38,-86,-12
1,299456,1.0000,66,21,31,-40,-86,-12
1,299913,0.6000,68,26,31,-44,-76,-12
1,300374,0.4000,74,31,31,-56,-66,-12
1,300548,1.0000,66,33,31,-40,-62,-12
1,300549,1.0000,67,33,31,-42,-62,-12
1,300550,0.6000,68,33,31,-44,-62,-12
1,300639,1.0000,66,34,31,-40,-60,-12
1,300640,1.0000,67,34,31,-42,-60,-12
1,300641,1.0000,68,34,31,-44,-60,-12
1,300642,0.4000,69,34,31,-46,-60,-12
1,300729,0.8000,65,35,31,-38,-58,-12
1,300730,0.8000,66,35,31,-40,-58,-12
1,300731,0.4000,67,35,31,-42,-58,-12
1,300736,0.8000,72,35,31,-52,-58,-12
1,300737,0.2000,73,35,31,-54,-58,-12
1,300827,0.4000,72,36,31,-52,-56,-12
1,300828,0.2000,73,36,31,-54,-56,-12
1,301190,0.6000,71,40,31,-50,-48,-12
1,301277,0.4000,67,41,31,-42,-46,-12
1,301280,0.4000,70,41,31,-48,-46,-12
1,301281,1.0000,71,41,31,-50,-46,-12
1,301284,0.6000,74,41,31,-56,-46,-12
1,301285,0.8000,75,41,31,-58,-46,-12
1,301286,0.6000,76,41,31,-60,-46,-12
1,301371,1.0000,70,42,31,-48,-44,-12
1,301372,1.0000,71,42,31,-50,-44,-12
1,301375,1.0000,74,42,31,-56,-44,-12
1,301376,1.0000,75,42,31,-58,-44,-12
1,301377,0.8000,76,42,31,-60,-44,-12
1,301378,0.6000,77,42,31,-62,-44,-12
1,301466,1.0000,74,43,31,-56,-42,-12
1,301467,1.0000,75,43,31,-58,-42,-12
1,301468,1.0000,76,43,31,-60,-42,-12
1,301469,0.6000,77,43,31,-62,-42,-12
1,301557,0.8000,74,44,31,-56,-40,-12
1,301558,1.0000,75,44,31,-58,-40,-12
1,301559,0.8000,76,44,31,-60,-40,-12
1,301560,0.2000,77,44,31,-62,-40,-12
1,301649,1.0000,75,45,31,-58,-38,-12
1,301650,0.2000,76,45,31,-60,-38,-12
1,308730,0.8000,58,14,32,-24,-100,-10
